zip_code,area_type
33101,include
33109,include
33122,include
33125,include
33126,include
33127,include
33128,include
33129,include
33130,include
33131,include
33132,include
33133,include
33134,include
33135,include
33136,include
33137,include
33138,include
33139,include
33140,include
33141,include
33142,include
33143,include
33144,include
33145,include
33146,include
